1. Mojsijeva 1,1        U početku stvori Bog nebo i zemlju.
1. Mojsijeva 1,19       I bi veče i bi jutro, dan četvrti.
1. Mojsijeva 1,20       Potom reče Bog: neka vrve po vodi žive duše, i ptice neka lete iznad zemlje pod svod nebeski.
1. Mojsijeva 1,21       I stvori Bog kitove velike i sve žive duše što se miču, što provrvješe po vodi po vrstama svojim, i sve ptice krilate po vrstama njihovijem. I vidje Bog da je dobro;
1. Mojsijeva 1,22       I blagoslovi ih Bog govoreći: rađajte se i množite se, i napunite vodu po morima, i ptice neka se množe na zemlji.
1. Mojsijeva 1,23       I bi veče i bi jutro, dan peti.
1. Mojsijeva 1,24       Potom reče Bog: neka zemlja pusti iz sebe duše žive po vrstama njihovijem, stoku i sitne životinje i zvijeri zemaljske po vrstama njihovijem. I bi tako.
1. Mojsijeva 1,25       I stvori Bog zvijeri zemaljske po vrstama njihovijem, i stoku po vrstama njezinijem, i sve sitne životinje na zemlji po vrstama njihovijem. I vidje Bog da je dobro.
1. Mojsijeva 1,26       Potom reče Bog: da načinimo čovjeka po svojemu obličju, kao što smo mi, koji će biti gospodar od riba morskih i od ptica nebeskih i od stoke i od cijele zemlje i od svijeh životinja što se miču po zemlji.
1. Mojsijeva 1,27       I stvori Bog čovjeka po obličju svojemu, po obličju Božijemu stvori ga; muško i žensko stvori ih.
1. Mojsijeva 1,28       I blagoslovi ih Bog, i reče im Bog: rađajte se i množite se, i napunite zemlju, i vladajte njom, i budite gospodari od riba morskih i od ptica nebeskih i od svega zvjerinja što se miče po zemlji.
1. Mojsijeva 1,29       I još reče Bog: evo, dao sam vam sve bilje što nosi sjeme po svoj zemlji, i sva drveta rodna koja nose sjeme; to će vam biti za hranu.
1. Mojsijeva 1,30       A svemu zvjerinju zemaljskom i svjema pticama nebeskim i svemu što se miče na zemlji i u čem ima duša živa, dao sam svu travu da jedu. I bi tako.
1. Mojsijeva 1,31       Tada pogleda Bog sve što je stvorio, i gle, dobro bješe veoma. I bi veče i bi jutro, dan šesti.
1. Mojsijeva 2,1        Tako se dovrši nebo i zemlja i sva vojska njihova.
1. Mojsijeva 2,2        I svrši Bog do sedmoga dana djela svoja, koja učini; i počinu u sedmi dan od svijeh djela svojih, koja učini;
1. Mojsijeva 2,3        I blagoslovi Bog sedmi dan, i posveti ga, jer u taj dan počinu od svijeh djela svojih, koja učini;
1. Mojsijeva 2,4        To je postanje neba i zemlje, kad postaše, kad Gospod Bog stvori zemlju i nebo,
1. Mojsijeva 2,5        I svaku biljku poljsku, dokle je još ne bješe na zemlji, i svaku travku poljsku, dokle još ne nicaše; jer Gospod Bog još ne pusti dažda na zemlju, niti bješe čovjeka da radi zemlju,
1. Mojsijeva 2,6        Ali se podizaše para sa zemlje da natapa svu zemlju.
1. Mojsijeva 2,7        A stvori Gospod Bog čovjeka od praha zemaljskoga, i dunu mu u nos duh životni; i posta čovjek duša živa.
1. Mojsijeva 2,8        I nasadi Gospod Bog vrt u Edemu na istoku; i ondje namjesti čovjeka, kojega stvori.
1. Mojsijeva 2,9        I učini Gospod Bog, te nikoše iz zemlje svakojaka drveta lijepa za gledanje i dobra za jelo, i drvo od života usred vrta i drvo od znanja dobra i zla.
1. Mojsijeva 2,10       A voda tecijaše iz Edema natapajući vrt, i odande se dijeljaše u četiri rijeke.
1. Mojsijeva 2,11       Jednoj je ime Fison, ona teče oko cijele zemlje Evilske, a ondje ima zlata,
1. Mojsijeva 2,12       I zlato je one zemlje vrlo dobro; ondje ima i bdela i dragoga kamena oniha.
1. Mojsijeva 2,13       A drugoj je rijeci ime Geon, ona teče oko cijele zemlje Huske.
1. Mojsijeva 2,14       A trećoj je rijeci ime Hidekel, ona teče k Asirskoj. A četvrta je rijeka Efrat.
1. Mojsijeva 2,15       I uzevši Gospod Bog čovjeka namjesti ga u vrtu Edemskom, da ga radi i da ga čuva.
1. Mojsijeva 2,16       I zaprijeti Gospod Bog čovjeku govoreći: jedi slobodno sa svakoga drveta u vrtu;
1. Mojsijeva 2,17       Ali s drveta od znanja dobra i zla, s njega ne jedi; jer u koji dan okusiš s njega, umrijećeš.
1. Mojsijeva 2,18       I reče Gospod Bog: nije dobro da je čovjek sam; da mu načinim druga prema njemu.
1. Mojsijeva 2,19       Jer Gospod Bog stvori od zemlje sve zvijeri poljske i sve ptice nebeske, i dovede k Adamu da vidi kako će koju nazvati, pa kako Adam nazove koju životinju onako da joj bude ime;
1. Mojsijeva 2,20       I Adam nadjede ime svakom živinčetu i svakoj ptici nebeskoj i svakoj zvijeri poljskoj; ali se ne nađe Adamu drug prema njemu.
1. Mojsijeva 2,21       I Gospod Bog pusti tvrd san na Adama, te zaspa; pa mu uze jedno rebro, i mjesto popuni mesom;
1. Mojsijeva 2,22       I Gospod Bog stvori ženu od rebra, koje uze Adamu, i dovede je k Adamu.
1. Mojsijeva 2,23       A Adam reče: sada eto kost od mojih kosti, i tijelo od mojega tijela. Neka joj bude ime čovječica, jer je uzeta od čovjeka.
1. Mojsijeva 2,24       Za to će ostaviti čovjek oca svojega i mater svoju, i prilijepiće se k ženi svojoj, i biće dvoje jedno tijelo.
1. Mojsijeva 2,25       A bjehu oboje goli, Adam i žena mu, i ne bješe ih sramota.
1. Mojsijeva 3,1        Ali zmija bješe lukava mimo sve zvijeri poljske, koje stvori Gospod Bog; pa reče ženi: je li istina da je Bog kazao da ne jedete sa svakoga drveta u vrtu?
1. Mojsijeva 3,2        A žena reče zmiji: mi jedemo roda sa svakoga drveta u vrtu;
1. Mojsijeva 3,3        Samo roda s onoga drveta usred vrta, kazao je Bog, ne jedite i ne dirajte u nj, da ne umrete.
1. Mojsijeva 3,4        A zmija reče ženi: nećete vi umrijeti;
1. Mojsijeva 3,5        Nego zna Bog da će vam se u onaj dan kad okusite s njega otvoriti oči, pa ćete postati kao bogovi i znati što je dobro što li zlo.
1. Mojsijeva 3,6        I žena videći da je rod na drvetu dobar za jelo i da ga je milina gledati i da je drvo vrlo drago radi znanja, uzabra roda s njega i okusi, pa dade i mužu svojemu, te i on okusi.
1. Mojsijeva 3,7        Tada im se otvoriše oči, i vidješe da su goli; pa spletoše lišća smokova i načiniše sebi pregače.
1. Mojsijeva 3,8        I začuše glas Gospoda Boga, koji iđaše po vrtu kad zahladi; i sakri se Adam i žena mu ispred Gospoda Boga među drveta u vrtu.
1. Mojsijeva 3,9        A Gospod Bog viknu Adama i reče mu: gdje si?
1. Mojsijeva 3,10       A on reče: čuh glas tvoj u vrtu, pa se poplaših, jer sam go, te se sakrih.
1. Mojsijeva 3,11       A Bog reče: ko ti kaza da si go? da nijesi jeo s onoga drveta što sam ti zabranio da ne jedeš s njega?
1. Mojsijeva 3,12       A Adam reče: žena koju si udružio sa mnom, ona mi dade s drveta, te jedoh.
1. Mojsijeva 3,13       A Gospod Bog reče ženi: zašto si to učinila? A žena odgovori: zmija me prevari, te jedoh.
1. Mojsijeva 3,14       Tada reče Gospod Bog zmiji: kad si to učinila, da si prokleta mimo svako živinče i mimo sve zvijeri poljske; na trbuhu da se vučeš i prah da jedeš do svojega vijeka.
1. Mojsijeva 3,15       I još mećem neprijateljstvo između tebe i žene i između sjemena tvojega i sjemena njezina; ono će ti na glavu stajati a ti ćeš ga u petu ujedati.
1. Mojsijeva 3,16       A ženi reče: tebi ću mnoge muke zadati kad zatrudniš, s mukama ćeš djecu rađati, i volja će tvoja stajati pod vlašću muža tvojega, i on će ti biti gospodar.
1. Mojsijeva 3,17       Pa onda reče Adamu: što si poslušao ženu i okusio s drveta s kojega sam ti zabranio rekavši da ne jedeš s njega, zemlja da je prokleta s tebe, s mukom ćeš se od nje hraniti do svojega vijeka;
1. Mojsijeva 3,18       Trnje i korov će ti rađati, a ti ćeš jesti zelje poljsko;
1. Mojsijeva 3,19       Sa znojem lica svojega ješćeš hljeb, dokle se ne vratiš u zemlju od koje si uzet; jer si prah, i u prah ćeš se vratiti.
1. Mojsijeva 3,20       I Adam nadjede ženi svojoj ime Jeva, zato što je ona mati svjema živima.
1. Mojsijeva 3,21       I načini Gospod Bog Adamu i ženi njegovoj haljine od kože, i obuče ih u njih.
1. Mojsijeva 3,22       I reče Gospod Bog: eto, čovjek posta kao jedan od nas znajući što je dobro što li zlo; ali sada da ne pruži ruke svoje i uzbere i s drveta od života, i okusi, te do vijeka živi.
1. Mojsijeva 3,23       I Gospod Bog izagna ga iz vrta Edemskoga da radi zemlju, od koje bi uzet;
1. Mojsijeva 3,24       I izagnav čovjeka postavi pred vrtom Edemskim heruvima s plamenijem mačem, koji se vijaše i tamo i amo, da čuva put ka drvetu od života.
1. Mojsijeva 4,1        Iza toga Adam pozna Jevu ženu svoju, a ona zatrudnje i rodi Kajina, i reče: dobih čovjeka od Gospoda.
1. Mojsijeva 4,2        I rodi opet brata njegova Avelja. I Avelj posta pastir a Kajin ratar.
1. Mojsijeva 4,3        A poslije nekoga vremena dogodi se, te Kajin prinese Gospodu prinos od roda zemaljskoga;
1. Mojsijeva 4,4        A i Avelj prinese od prvina stada svojega i od njihove pretiline. I Gospod pogleda na Avelja i na njegov prinos,
1. Mojsijeva 4,5        A na Kajina i na njegov prinos ne pogleda. Zato se Kajin rasrdi veoma, i lice mu se promijeni.
1. Mojsijeva 4,6        Tada reče Gospod Kajinu: što se srdiš? što li ti se lice promijeni?
1. Mojsijeva 4,7        Nećeš li biti mio, kad dobro činiš? a kad ne činiš dobro, grijeh je na vratima. A volja je njegova pod tvojom vlašću, i ti si mu stariji.
1. Mojsijeva 4,8        Poslije govoraše Kajin s Aveljem bratom svojim. Ali kad bijahu u polju, skoči Kajin na Avelja brata svojega, i ubi ga.
1. Mojsijeva 4,9        Tada reče Gospod Kajinu: gdje ti je brat Avelj? A on odgovori: ne znam; zar sam ja čuvar brata svojega?
1. Mojsijeva 4,10       A Bog reče: šta učini! glas krvi brata tvojega viče sa zemlje k meni.
1. Mojsijeva 4,11       I sada, da si proklet na zemlji, koja je otvorila usta svoja da primi krv brata tvojega iz ruke tvoje.
1. Mojsijeva 4,12       Kad zemlju uzradiš, neće ti više davati blaga svojega. Bićeš potukač i bjegunac na zemlji.
1. Mojsijeva 4,13       A Kajin reče Gospodu: krivica je moja velika da mi se ne može oprostiti.
1. Mojsijeva 4,14       Evo me tjeraš danas iz ove zemlje da se krijem ispred tebe, i da se skitam i potucam po zemlji, pa će me ubiti ko me udesi.
1. Mojsijeva 4,15       A Gospod mu reče: za to ko ubije Kajina, sedam će se puta to pokajati. I načini Gospod znak na Kajinu da ga ne ubije ko ga udesi.
1. Mojsijeva 4,16       I otide Kajin ispred Gospoda, i naseli se u zemlji Naidskoj na istoku prema Edemu.
1. Mojsijeva 4,17       I pozna Kajin ženu svoju, a ona zatrudnje i rodi Enoha. I sazida grad i prozva ga po imenu sina svojega Enoh.
1. Mojsijeva 4,18       A Enohu rodi se Gaidad; a Gaidad rodi Maleleila: a Maleleilo rodi Matusala; a Matusal rodi Lameha.
1. Mojsijeva 4,19       I uze Lameh dvije žene: jednoj bješe ime Ada a drugoj Sela.
1. Mojsijeva 4,20       I Ada rodi Jovila; od njega se narodiše koji žive pod šatorima i stoku pasu.
1. Mojsijeva 4,21       A bratu njegovu bješe ime Juval; od njega se narodiše gudači i svirači.
1. Mojsijeva 4,22       A i Sela rodi Tovela, koji bješe vješt kovati svašta od mjedi i od gvožđa; a sestra Tovelu bješe Noema.
1. Mojsijeva 4,23       I reče Lameh svojima ženama, Adi i Seli: čujte glas moj, žene Lamehove, poslušajte riječi moje: ubiću čovjeka za ranu svoju i mladića za masnicu svoju.
1. Mojsijeva 4,24       Kad će se Kajin osvetiti sedam puta, Lameh će sedamdeset i sedam puta.
1. Mojsijeva 4,25       A Adam opet pozna ženu svoju, i ona rodi sina, i nadje mu ime Sit, jer mi, reče, Bog dade drugoga sina za Avelja, kojega ubi Kajin.
1. Mojsijeva 4,26       I Situ se rodi sin, kojemu nadjede ime Enos. Tada se poče prizivati ime Gospodnje.
1. Mojsijeva 5,1        Ovo je pleme Adamovo. Kad Bog stvori čovjeka, po obličju svojemu stvori ga.
1. Mojsijeva 5,2        Muško i žensko stvori ih, i blagoslovi ih, i nazva ih čovjek, kad biše stvoreni.
1. Mojsijeva 5,3        I poživje Adam sto i trideset godina, i rodi sina po obličju svojemu, kao što je on, i nadjede mu ime Sit.
1. Mojsijeva 5,4        A rodiv Sita poživje Adam osam stotina godina, rađajući sinove i kćeri;
1. Mojsijeva 5,5        Tako poživje Adam svega devet stotina i trideset godina; i umrije.
1. Mojsijeva 5,6        A Sit poživje sto i pet godina, i rodi Enosa;
1. Mojsijeva 5,7        A rodiv Enosa poživje Sit osam stotina i sedam godina, rađajući sinove i kćeri;
1. Mojsijeva 5,8        Tako poživje Sit svega devet stotina i dvanaest godina; i umrije.
1. Mojsijeva 5,9        A Enos poživje devedeset godina, i rodi Kajinana;
1. Mojsijeva 5,10       A rodiv Kajinana poživje Enos osam stotina i petnaest godina, rađajući sinove i kćeri;
1. Mojsijeva 5,11       Tako poživje Enos svega devet stotina i pet godina; i umrije.
1. Mojsijeva 5,12       A Kajinan poživje sedamdeset godina, i rodi Maleleila;
1. Mojsijeva 5,13       A rodiv Maleleila poživje Kajinan osam stotina i četrdeset godina, rađajući sinove i kćeri;
1. Mojsijeva 5,14       Tako poživje Kajinan svega devet stotina i deset godina; i umrije.
1. Mojsijeva 5,15       A Maleleilo poživje šezdeset i pet godina, i rodi Jareda;
1. Mojsijeva 5,16       A rodiv Jareda poživje Maleleilo osam stotina i trideset godina, rađajući sinove i kćeri;
1. Mojsijeva 5,17       Tako poživje Maleleilo svega osam stotina i devedeset i pet godina; i umrije.
1. Mojsijeva 5,18       A Jared poživje sto i šezdeset i dvije godine, i rodi Enoha;
1. Mojsijeva 5,19       A rodiv Enoha poživje Jared osam stotina godina, rađajući sinove i kćeri;
1. Mojsijeva 5,20       Tako poživje Jared svega devet stotina i šezdeset i dvije godine, i umrije.
1. Mojsijeva 5,21       A Enoh poživje šezdeset i pet godina, i rodi Matusala;
1. Mojsijeva 5,22       A rodiv Matusala poživje Enoh jednako po volji Božjoj trista godina, rađajući sinove i kćeri;
1. Mojsijeva 5,23       Tako poživje Enoh svega trista i šezdeset i pet godina;
1. Mojsijeva 5,24       I živeći Enoh jednako po volji Božjoj, nestade ga, jer ga uze Bog.
1. Mojsijeva 5,25       A Matusal poživje sto i osamdeset i sedam godina, i rodi Lameha;
1. Mojsijeva 5,26       A rodiv Lameha poživje Matusal sedam stotina i osamdeset i dvije godine, rađajući sinove i kćeri;
1. Mojsijeva 5,27       Tako poživje Matusal svega devet stotina i šezdeset i devet godina; i umrije.
1. Mojsijeva 5,28       A Lameh poživje sto i osamdeset i dvije godine, i rodi sina,
1. Mojsijeva 5,29       I nadjede mu ime Noje govoreći: ovaj će nas odmoriti od posala naših i od truda ruku naših na zemlji, koju prokle Gospod.
1. Mojsijeva 5,30       A rodiv Noja poživje Lameh pet stotina i devedeset i pet godina, rađajući sinove i kćeri;
1. Mojsijeva 5,31       Tako poživje Lameh svega sedam stotina i sedamdeset i sedam godina; i umrije.
1. Mojsijeva 5,32       A Noju kad bi pet stotina godina, rodi Noje Sima, Hama i Jafeta.
1. Mojsijeva 6,1        A kad se ljudi počeše množiti na zemlji, i kćeri im se narodiše.
1. Mojsijeva 6,2        Videći sinovi Božji kćeri čovječije kako su lijepe uzimaše ih za žene koje htješe.
1. Mojsijeva 6,3        A Gospod reče: neće se duh moj do vijeka preti s ljudima, jer su tijelo; neka im još sto i dvadeset godina.
1. Mojsijeva 6,4        A bijaše tada divova na zemlji; a i poslije, kad se sinovi Božji sastajahu sa kćerima čovječijim, pa im one rađahu sinove; to bijahu silni ljudi, od starine na glasu.
1. Mojsijeva 6,5        I Gospod videći da je nevaljalstvo ljudsko veliko na zemlji, i da su sve misli srca njihova svagda samo zle,
1. Mojsijeva 6,6        Pokaja se Gospod što je stvorio čovjeka na zemlji, i bi mu žao u srcu.
1. Mojsijeva 6,7        I reče Gospod: hoću da istrijebim sa zemlje ljude, koje sam stvorio, od čovjeka do stoke i do sitne životinje i do ptica nebeskih; jer se kajem što sam ih stvorio.
1. Mojsijeva 6,8        Ali Noje nađe milost pred Gospodom.
1. Mojsijeva 6,9        Ovo su događaji Nojevi: Noje bješe čovjek pravedan i bezazlen svojega vijeka; po volji Božjoj svagda življaše Noje.
1. Mojsijeva 6,10       I rodi Noje tri sina: Sima, Hama i Jafeta.
1. Mojsijeva 6,11       A zemlja se pokvari pred Bogom, i napuni se zemlja bezakonja.
1. Mojsijeva 6,12       I pogleda Bog na zemlju, a ona bješe pokvarena; jer svako tijelo pokvari put svoj na zemlji.
1. Mojsijeva 6,13       I reče Bog Noju: kraj svakome tijelu dođe preda me, jer napuniše zemlju bezakonja; i evo hoću da ih zatrem sa zemljom.
1. Mojsijeva 6,14       Načini sebi kovčeg od drveta gofera, i načini pregratke u kovčegu; i zatopi ga smolom iznutra i spolja.
1. Mojsijeva 6,15       I načini ga ovako; u dužinu neka bude trista lakata, u širinu pedeset lakata, i u visinu trideset lakata;
1. Mojsijeva 6,16       Pusti dosta svjetlosti u kovčeg; i krov mu svedi ozgo od lakta; i udari vrata kovčegu sa strane; i načini ga na tri boja: donji, drugi i treći.
1. Mojsijeva 6,17       Jer evo pustiću potop na zemlju, da istrijebim svako tijelo, u kojem ima živa duša pod nebom; što je god na zemlji sve će izginuti.
1. Mojsijeva 6,18       Ali ću s tobom učiniti zavjet svoj: i ući ćeš u kovčeg ti i sinovi tvoji i žena tvoja i žene sinova tvojih s tobom.
1. Mojsijeva 6,19       I od svega živa, od svakoga tijela, uzećeš u kovčeg po dvoje, da sačuvaš u životu sa sobom, a muško i žensko neka bude.
1. Mojsijeva 6,20       Od ptica po vrstama njihovijem, od stoke po vrstama njezinijem, i od svega što se miče na zemlji po vrstama njegovijem, od svega po dvoje neka uđe s tobom, da ih sačuvaš u životu.
1. Mojsijeva 6,21       I uzmi sa sobom svega što se jede, i čuvaj kod sebe, da bude hrane tebi i njima.
1. Mojsijeva 6,22       I Noje učini, kako mu zapovjedi Bog, sve onako učini.
1. Mojsijeva 7,1        I reče Gospod Noju: uđi u kovčeg ti i sav dom tvoj; jer te nađoh pravedna pred sobom ovoga vijeka.
1. Mojsijeva 7,2        Uzmi sa sobom od svijeh životinja čistih po sedmoro, sve mužjaka i ženku njegovu; a od životinja nečistih po dvoje, mužjaka i ženku njegovu,
1. Mojsijeva 7,3        Također i od ptica nebeskih po sedam, mužjaka i ženku njegovu, da im se sačuva sjeme na zemlji.
1. Mojsijeva 7,4        Jer ću do sedam dana pustiti dažd na zemlju za četrdeset dana i četrdeset noći, i istrijebiću sa zemlje svako tijelo živo, koje sam stvorio.
1. Mojsijeva 7,5        I Noje učini sve što mu zapovjedi Gospod.
1. Mojsijeva 7,6        A bješe Noju šest stotina godina kad dođe potop na zemlju.
1. Mojsijeva 7,7        I uđe Noje u kovčeg i sinovi njegovi i žena njegova i žene sinova njegovih s njim radi potopa.
1. Mojsijeva 7,8        Od životinja čistih i od životinja nečistih i od ptica i od svega što se miče po zemlji,
1. Mojsijeva 7,9        Uđe k Noju u kovčeg po dvoje, muško i žensko, kao što bješe Bog zapovjedio Noju.
1. Mojsijeva 7,10       A u sedmi dan dođe potop na zemlju.
1. Mojsijeva 7,11       Kad je bilo Noju šest stotina godina, te godine drugoga mjeseca, sedamnaesti dan toga mjeseca, taj dan razvališe se svi izvori velikoga bezdana, i otvoriše se ustave nebeske;
1. Mojsijeva 7,12       I udari dažd na zemlju za četrdeset dana i četrdeset noći.
1. Mojsijeva 7,13       Taj dan uđe u kovčeg Noje i Sim i Ham i Jafet, sinovi Nojevi, i žena Nojeva i tri žene sinova njegovijeh s njima;
1. Mojsijeva 7,14       Oni, i svakojake zvijeri po vrstama svojim, i svakojaka stoka po vrstama svojim, i što se god miče po zemlji po vrstama svojim, i ptice sve po vrstama svojim, i što god leti i ima krila.
1. Mojsijeva 7,15       Dođe k Noju u kovčeg po dvoje od svakoga tijela, u kojem ima živa duša,
1. Mojsijeva 7,16       Muško i žensko od svakoga tijela uđoše, kao što bješe Bog zapovjedio Noju; pa Gospod zatvori za njim.
1. Mojsijeva 7,17       I bi potop na zemlji za četrdeset dana; i voda dođe i uze kovčeg, i podiže ga od zemlje.
1. Mojsijeva 7,18       I navali voda, i usta jako po zemlji, i kovčeg stade ploviti vodom.
1. Mojsijeva 7,19       I navaljivaše voda sve većma po zemlji, i pokori sva najviša brda što su pod cijelijem nebom.
1. Mojsijeva 7,20       Petnaest lakata dođe voda iznad brda, pošto ih pokri.
1. Mojsijeva 7,21       Tada izgibe svako tijelo što se micaše na zemlji, ptice i stoka, i zvijeri i sve što gamiže po zemlji, i svi ljudi.
1. Mojsijeva 7,22       Sve što imaše dušu živu u nosu, sve što bijaše na suhu, pomrije.
1. Mojsijeva 7,23       I istrijebi se svako tijelo živo na zemlji, i ljudi i stoka i što god gamiže i ptice nebeske, sve, velim, istrijebi se sa zemlje; samo Noje osta i što s njim bješe u kovčegu.
1. Mojsijeva 7,24       I stajaše voda povrh zemlje sto i pedeset dana.
1. Mojsijeva 8,1        A Bog se opomenu Noja i svijeh zvijeri i sve stoke što bjehu s njim u kovčegu; i posla Bog vjetar na zemlju da uzbije vodu.
1. Mojsijeva 8,2        I zatvoriše se izvori bezdanu i ustave nebeske, i dažd s neba prestade.
1. Mojsijeva 8,3        I stade voda opadati na zemlji, i jednako opadaše poslije sto i pedeset dana;
1. Mojsijeva 8,4        Te se ustavi kovčeg sedmoga mjeseca dana sedamnaestoga na planini Araratu.
1. Mojsijeva 8,5        I voda opadaše sve većma do desetoga mjeseca; i prvoga dana desetoga mjeseca pokazaše se vrhovi od brda.
1. Mojsijeva 8,6        A poslije četrdeset dana otvori Noje prozor na kovčegu, koji bješe načinio;
1. Mojsijeva 8,7        I ispusti gavrana, koji jednako odlijetaše i dolijetaše dokle ne presahnu voda na zemlji.
1. Mojsijeva 8,8        Pa pusti i golubicu da bi vidio je li opala voda sa zemlje.
1. Mojsijeva 8,9        A golubica ne našavši gdje bi stala nogom svojom vrati se k njemu u kovčeg, jer još bješe voda po svoj zemlji; i Noje pruživši ruku uhvati je i uze k sebi u kovčeg.
1. Mojsijeva 8,10       I počeka još sedam dana, pa opet ispusti golubicu iz kovčega.
1. Mojsijeva 8,11       I pred veče vrati se k njemu golubica, i gle, u kljunu joj list maslinov, koji bješe otkinula; tako pozna Noje da je opala voda sa zemlje.
1. Mojsijeva 8,12       Ali počeka još sedam dana, pa opet ispusti golubicu, a ona mu se više ne vrati.
1. Mojsijeva 8,13       Šest stotina prve godine vijeka Nojeva prvi dan prvoga mjeseca usahnu voda na zemlji; i Noje otkri krov na kovčegu, i ugleda zemlju suhu.
1. Mojsijeva 8,14       A drugoga mjeseca dvadeset sedmoga dana bješe sva zemlja suha.
1. Mojsijeva 8,15       Tada reče Bog Noju govoreći:
1. Mojsijeva 8,16       Izidi iz kovčega ti i žena tvoja i sinovi tvoji i žene sinova tvojih s tobom;
1. Mojsijeva 8,17       Sve zvijeri što su s tobom od svakoga tijela, ptice i stoku i što god gamiže po zemlji, izvedi sa sobom, neka se raziđu po zemlji, i neka se plode i množe na zemlji.
1. Mojsijeva 8,18       I izide Noje i sinovi njegovi i žena njegova i žene sinova njegovijeh s njim.
1. Mojsijeva 8,19       Sve zvijeri, sve sitne životinje, sve ptice i sve što se miče po zemlji po svojim vrstama izidoše iz kovčega.
1. Mojsijeva 8,20       I načini Noje žrtvenik Gospodu, i uze od svake čiste stoke i od svijeh ptica čistijeh, i prinese na žrtveniku žrtve paljenice.
1. Mojsijeva 8,21       I Gospod omirisa miris ugodni, i reče u srcu svojem: neću više kleti zemlje s ljudi, što je misao srca čovječijega zla od malena; niti ću više ubijati svega što živi, kao što učinih.
1. Mojsijeva 8,22       Otsele dokle bude zemlje, neće nestajati sjetve ni žetve, studeni ni vrućine, ljeta ni zime, dana ni noći.
1. Mojsijeva 9,1        I Bog blagoslovi Noja i sinove njegove, i reče im; rađajte se i množite se i napunite zemlju;
1. Mojsijeva 9,2        I sve zvijeri zemaljske i sve ptice nebeske i sve što ide po zemlji i sve ribe morske neka vas se boje i straše; sve je predano u vaše ruke.
1. Mojsijeva 9,3        Što se god miče i živi, neka vam bude za jelo, sve vam to dadoh kao zelenu travu.
1. Mojsijeva 9,4        Ali ne jedite mesa s dušom njegovom, a to mu je krv.
1. Mojsijeva 9,5        Jer ću i vašu krv, duše vaše, iskati; od svake ću je zvijeri iskati; iz ruke samoga čovjeka, iz ruke svakoga brata njegova iskaću dušu čovječiju.
1. Mojsijeva 9,6        Ko prolije krv čovječiju, njegovu će krv proliti čovjek; jer je Bog po svojemu obličju stvorio čovjeka.
1. Mojsijeva 9,7        Rađajte se dakle i množite se; narodite se veoma na zemlji i namnožite se na njoj.
1. Mojsijeva 9,8        I reče Bog Noju i sinovima njegovijem s njim, govoreći:
1. Mojsijeva 9,9        A ja evo postavljam zavjet svoj s vama i s vašim sjemenom nakon vas,
1. Mojsijeva 9,10       I sa svijem životinjama, što su s vama od ptica, od stoke i od svega zvijerja zemaljskoga što je s vama, sa svačim što je izašlo iz kovčega, i sa svijem zvijerjem zemaljskim.
1. Mojsijeva 9,11       Postavljam zavjet svoj s vama, te otsele neće nijedno tijelo poginuti od potopa, niti će više biti potopa da zatre zemlju.
1. Mojsijeva 9,12       I reče Bog: evo znak zavjeta koji postavljam između sebe i vas i svake žive tvari, koja je s vama do vijeka:
1. Mojsijeva 9,13       Metnuo sam dugu svoju u oblake, da bude znak zavjeta između mene i zemlje.
